platform,id,key,name,rating,user_numbers,creator,last_updated,introduction
chrome,cdopijddofmobcpbhmikjglcfmjijlka,stratis-stratbtc-price-ti,Stratis (STRAT/BTC) Price Ticker,3.5,31,Taha,2020-03-17 00:00:00,This extension shows latest price of STRAT/BTC for bittrex.
chrome,cknoenfpneihlklphnieimfaolpaammb,haspit,Haspit,0.0,19,"Haspit, Inc.",2020-11-25 00:00:00,Haspit | Secure Your Email with Blockchain
chrome,epanfjkfahimkgomnigadpkobaefekcd,blur,Blur,4.318131256952169,"100,000","Abine Inc., The online privacy company",2021-02-10 00:00:00,"Protect your Passwords, Payments, and Privacy."
chrome,mhhgjpidhclpobhkdnlopdfhfamalnia,stormx-shop-earn-crypto,StormX: Shop & Earn Crypto,5.0,"5,000",StormX Singapore PTE. LTD.,2021-02-15 00:00:00,StormX
chrome,mipeohjjimeknlkekbemdjbjniogbgel,hubstaff-time-tracker,Hubstaff Time Tracker,4.363636363636363,"10,000","Netsoft Holdings, LLC",2020-10-06 00:00:00,"Chrome time tracker with screenshots, online timesheets, task management, url monitoring & employee payroll"
chrome,ookjlbkiijinhpmnjffcofjonbfbgaoc,thanos-wallet,Thanos Wallet,5.0,"1,000",Madfish Solutions,2021-02-16 00:00:00,🔐💰Cryptocurrency wallet for Tezos blockchain as Web Extension for your Browser.
chrome,oocojependgglmnbdmmelleoolopahge,tezosoperationchecker,TezosOperationChecker,0.0,2,Rodrigo Quelhas,2020-09-15 00:00:00,A browser extension to check the encoding of operations in the Tezos blockchain.
chrome,gnamoippebdncomaimedfleloliapala,akila-wallet,Akila Wallet,0.0,0,info,2021-02-15 00:00:00,Cryptocurrency wallet for Tezos blockchain as Web Extension for your Browser.
chrome,iafehpnnfahnjbgmdfmlcfopafehckkh,payback-2-the-battle-sand,Payback 2 The Battle Sandbox,0.0,196,gamerims,2021-01-20 00:00:00,"Payback 2 The Battle Sandbox game, now available on chrome"
chrome,bkbipadjogdmmnajfplbllmglobaiapc,whatslly-connecting-whats,Whatslly - Connecting WhatsApp & Salesforce,4.9655172413793105,"1,000",Whatslly,2021-01-24 00:00:00,"A Salesforce AppExchange Partner, create leads, view contact details and copy chats into Salesforce."
chrome,ahkepgmbodoebkgfnfppnbgpibgnkanh,tether-usdt-simple-ticker,Tether (USDT) | Simple Ticker,0.0,6,txpetr.cz,2021-01-10 00:00:00,Displays quick information about the current price of Tether in your browser's toolbar.
chrome,ckelpdlfgochnkdgikcgbimdcfgpkhgk,theta-wallet,Theta Wallet,4.363636363636363,"3,000",Theta Labs,2021-02-03 00:00:00,Theta Wallet & gateway to blockchain apps on the Theta Network.
chrome,bmnfikjlonhkoojjfddnlbinkkapmldg,bibitnow,BibItNow!,4.7,"9,000",Langenscheiss,2020-11-08 00:00:00,"Instantly generates a Bibtex, RIS, Endnote, APA, MLA or (B)Arnold S. bibliography item from journal articles, books, etc. ."
chrome,anfhjfflodcjcfmgcgfenjlkkehphhal,ferz-wallet,Ferz Wallet,0.0,5,Ferz Inc.,2020-11-03 00:00:00,"Decentralised, crypto wallet powered by Thorchain protocol. Instantly swap supported assets."
chrome,apackbelmolgjpdfegmnkpajpdnchkgp,2020wallet,2020Wallet,5.0,34,unfoldlabs,2020-09-07 00:00:00,Automatic login to your websites with single swipe.
chrome,kmmolakhbgdlpkjkcjkebenjheonagdm,algosigner,AlgoSigner,5.0,579,https://www.purestake.com,2020-12-29 00:00:00,Algorand Wallet Extension | Send & Receive ALGOs | Sign dApp Transactions
chrome,blnieiiffboillknjnepogjhkgnoapac,equal-wallet,EQUAL Wallet,4.732142857142857,"1,000",equalnetwork,2021-01-05 00:00:00,EQUAL Wallet
chrome,bjfnbiebjhlnpjjalelblpfhojmcdahb,metatransact-dappconnect,MetaTransact dAppConnect,0.0,18,MetaTransact,2020-06-03 00:00:00,MetaTransact dAppConnect allow users to pay Ethereum txn fee in ERC20 tokens
chrome,nplfockicpoicmabmpjjkdiepdajflbn,etherscan-quick,Etherscan Quick,5.0,73,dan,2020-01-08 00:00:00,Access etherscan pages quickly
chrome,jpfolalfhhpgehgboellpeohdaggocli,hex-metatransact-dappconn,HEX MetaTransact dAppConnect,0.0,10,MetaTransact,2020-05-31 00:00:00,HEX MetaTransact dAppConnect allow users to pay Ethereum txn fee in ERC20 tokens
chrome,ldjaieegladfnkopenlafecgcdkealec,metatransact-dappconnect,MetaTransact dAppConnect,0.0,4,MetaTransact,2020-05-31 00:00:00,MetaTransact dAppConnect allow users to pay Ethereum txn fee in ERC20 tokens
chrome,loiopaejobjggipodncmajcmdolegdan,mcashlight,McashLight,5.0,316,Midas Core Pte Ltd,2020-03-04 00:00:00,"An interactive browser extension for signing, receiving and broadcasting MCASH transactions"
chrome,iopigoikekfcpcapjlkcdlokheickhpc,aergo-connect,Aergo Connect,5.0,694,Aergo,2020-11-21 00:00:00,"Wallet for Aergo Mainnet, Testnet, and private networks"
chrome,hplnpmobilcipddcpeejfmcpkfcklbpb,accby-wallet,Accby Wallet,0.0,4,accbychain,2020-01-21 00:00:00,Accby Wallet
chrome,lchdninaaaephipekicpgbbckihhapmj,dungeon-tokens,Dungeon Tokens,0.0,1,rameal.nabeeh,2020-12-08 00:00:00,An extension to deploy tokens and manage initiation
chrome,ocfgfhicacgipgpiapepehhpidbhijkl,pantograph,Pantograph,5.0,419,bacoor,2020-12-10 00:00:00,A TomoChain Wallet in your Browser
chrome,enhknmggbofiiljpiamokbhkmhgocmod,m1-finance-color-changer,M1 Finance Color Changer,0.0,3,VenmarkStudio,2020-02-22 00:00:00,Description
chrome,cgmhechlnfbnfcnomkmcillkgnipocfh,greenbelt,greenbelt,5.0,44,trueglobal,2020-02-06 00:00:00,greenbelt is blockchain's web tool!
chrome,fnabdmcgpkkjjegokfcnfbpneacddpfh,goldmint-lite-wallet,Goldmint Lite Wallet,5.0,342,Goldmint,2020-04-24 00:00:00,Send and receive MNT/GOLD in Mint blockchain
chrome,imloifkgjagghnncjkhggdhalmcnfklk,trezor-password-manager,Trezor Password Manager,3.844155844155844,"10,000",SatoshiLabs,2020-04-16 00:00:00,Really secure password manager using Trezor.
chrome,pegpahfaipieebkhnbifbpahaiojdfea,trezor,Trezor,5.0,17,Cloaked Treasure,2021-02-16 00:00:00,"Steganography made easy, Hide your secrets in plain sight"
chrome,nkbihfbeogaeaoehlefnkodbefgpgknn,metamask,MetaMask,3.8628198149156234,"2,000",metamask,2021-02-10 00:00:00,An Ethereum Wallet in your Browser
chrome,nngceckbapebfimnlniiiahkandclblb,bitwarden-free-password-m,Bitwarden - Free Password Manager,4.845167201099405,"800,000",Bitwarden Inc.,2021-02-09 00:00:00,A secure and free password manager for all of your devices.
chrome,dkdedlpgdmmkkfjabffeganieamfklkm,cyano-wallet,Cyano Wallet,3.111111111111111,"6,000",cyano-publishing,2020-10-22 00:00:00,Cyano Wallet - an Ontology wallet
chrome,cmbagcoinhmacpcgmbiniijboejgiahi,justliquidity-wallet,JustLiquidity Wallet,5.0,244,JustLiquidity,2020-10-13 00:00:00,Ethereum Browser Extension
chrome,icmkfkmjoklfhlfdkkkgpnpldkgdmhoe,cyano-wallet-pro,Cyano Wallet Pro,0.0,36,cyanowallet,2020-11-09 00:00:00,Cyano Wallet Pro - an Ontology wallet
chrome,moaehhjcfiempcbcglpmmppcdphmgkef,newmask,NewMask,0.0,21,newton.newmask,2020-09-30 00:00:00,An NewChain Wallet in your Browser
chrome,pdadjkfkgcafgbceimcpbkalnfnepbnk,kardiachain-wallet,KardiaChain Wallet,0.0,8,lew,2021-02-16 00:00:00,KardiaChain Web3 Extension
chrome,ifckdpamphokdglkkdomedpdegcjhjdp,onto-wallet,ONTO Wallet,0.0,3,ontowebwallet,2021-02-01 00:00:00,ONTO Wallet - an Ontology wallet
chrome,amkmjjmmflddogmhpjloimipbofnfjih,wombat-eos-telos-wallet,Wombat - EOS & Telos Wallet,4.4375,"20,000",Spielworks GmbH,2021-02-04 00:00:00,Blockchain within seconds for everyone
chrome,nacmlkkjcfbafppefkfkllicfnmplded,sonicxlink,SonicxLink,5.0,75,SonicX Foundation,2020-07-02 00:00:00,The first and most popular SonicX wallet. Recommended by SonicX Foundation.
chrome,hhimbkmlnofjdajamcojlcmgialocllm,extraton,extraTON,4.666666666666667,666,extraton,2021-02-15 00:00:00,FreeTON dapps to user communicator and wallet.
chrome,dklmlehijiaepdijfnbbhncfpcoeeljf,fshares-wallet,FShares Wallet,5.0,728,futureshares2019,2020-01-10 00:00:00,FSC Identity Signature and Authorization System
chrome,ibnejdfjmmkpcnlpebklmnkoeoihofec,tronlink（波宝钱包）,TronLink（波宝钱包）,3.541436464088398,"200,000",www.tronlink.org,2021-02-08 00:00:00,The first and most popular TRON wallet. Recommended by TRON Foundation.
chrome,pnndplcbkakcplkjnolgbkdgjikjednm,tron-wallet-explorer-tron,Tron Wallet & Explorer - Tronium,4.1,"3,000",syattdevelopment,2020-10-19 00:00:00,Tron Wallet & Explorer for Google Chrome
chrome,djhecjelehcfnnlbkegkckcngmngdnjf,reynapay,ReynaPay,3.6666666666666665,23,Reyna Foundation,2020-01-15 00:00:00,ReynaPay Chrome Extension for Tron Foundation
chrome,egfbimboljdebhepefdiolkpdbiaaggp,tronmask,TronMask,4.375,"2,000",TronMask,2020-09-24 00:00:00,A Tron Wallet in your Browser
chrome,nanjmdknhkinifnkgdcggcfnhdaammmj,guildwallet,GuildWallet,4.3076923076923075,"1,000",BitGuild,2021-02-06 00:00:00,GuildWallet
chrome,ejeemacpidnaejkhpbmfkadhgjhnolaa,ezdefi,ezDeFi,4.923076923076923,"1,000",ezdefi.com,2020-12-21 00:00:00,A Blockchain Wallet in your Browser
chrome,eomhlheglneofffmbfjflldlbcnhpkpb,tronboss,TronBoss,5.0,1,TronBoss,2021-01-23 00:00:00,Tron Wallet for Chrome Browser Extension
chrome,fcckkdbjnoikooededlapcalpionmalo,mobox-wallet,MOBOX WALLET,0.0,36,samuel,2021-02-10 00:00:00,DEVELOPED BY TEAM MOBOX 
chrome,bkdlmhjcfkfainkpdcdnaefganapmblg,skywallet,SkyWallet,0.0,6,developer,2020-06-13 00:00:00,Experience the Klaytn blockchain wallet in your browser
chrome,fbeiiganbeffhobegddakpmplljhmfnd,sparrow,Sparrow,5.0,375,iquidus,2021-02-12 00:00:00,A Ubiq Wallet in your Browser
chrome,bnpalipgomknhgbmgelaplknnmckljaf,currency-converter-widget,Currency Converter Widget - Exchange Rates,4.719101123595506,"2,000",Currency.Wiki,2020-12-06 00:00:00,Currency conversion extension for Google Chrome and Edge browser that is based on the Chromium open-source project.
chrome,cidalejakfnmkeioolifplbocphngkhl,admitad-extension,Admitad Extension,4.154761904761905,"30,000",Admitad,2021-01-21 00:00:00,Extension No.1 for earning money on your audience
chrome,epngggilgnflanfabeldfpbgponcgpgl,new-tab-studio-countdown,"New Tab Studio: Countdown, Habit, Background",4.86873920552677,"20,000",mavo-dash,2020-11-17 00:00:00,"New tab widgets: Pretty background, Countdown timer, Todo List, Habit tracker, Notes, Dashboard, Photos, Clock, Deadline, Dark theme"
chrome,cfnpidifppmenkapgihekkeednfoenal,trafficlight,TrafficLight,4.495278069254984,"700,000",Bitdefender Labs,2020-10-13 00:00:00,Bitdefender TrafficLight adds a strong and non-intrusive layer of security to your browsing experience.
chrome,jlnfnpelianecpjoeahaeihmkhnkakof,multiselect-for-trello,Multiselect for Trello,3.732283464566929,"2,000",Federico Martinez,2021-02-11 00:00:00,Manage and modify multiple cards at once
chrome,ogajfoicbmjoggcpkmhddokjoipjbnkg,feel-the-fee,Feel the Fee,0.0,34,harry830622,2020-09-10 00:00:00,Check out real-time gas fees on Ethereum in whatever currency you like
chrome,loaljdkanlgipgdlmgijfodcaggiikjo,quick-ant,Quick Ant,4.2682926829268295,"1,000",quickant00,2020-11-29 00:00:00,"Upbit, Bithumb 매수/매도 단축키 툴"
chrome,lekfgahkjfpgjmpbbppdllkamcjdjgfm,quick-ant-ext,Quick Ant Ext,3.5,419,quickant00,2020-11-29 00:00:00,"Upbit, Bithumb 매수/매도 단축키 툴 확장"
chrome,lleoahfonbeenjhjlkpmilmeengknlnp,jstbuy-hide-upbit-sell-bu,JSTbuy - Hide upbit sell button,0.0,2,limebear,2020-11-24 00:00:00,Chrome extension hide the sell tab in Upbit
chrome,ojdajiedkmmmchkdpceanekpmdmnohhe,단타의-신-for-업비트-빗썸-바이낸스-비트맥,"단타의 신 for 업비트, 빗썸, 바이낸스, 비트맥스",4.934426229508197,"1,000",dscoin,2021-02-16 00:00:00,"업비트(UPBIT), 빗썸(BITHUMB), 바이낸스(BINANCE), 비트맥스(BITMEX) 사이트 내 단축키를 통한 매수/매도의 빠른 진행과 예약주문(자동감시[스탑로스, 트레일링스탑]) 기능을 제공하는 보조프로그램입니다."
chrome,jlnmjekmbboahjghfaoliefacdpdcegp,upbitmacro,Upbit_Macro,0.0,58,petabyte,2020-03-02 00:00:00,Upbit_Macro
